user_id,CHURN
51fe4c3347db1f8571d18ac03f716c41acee30a4,0
5ad5d67c175bce107cc97b98c4e37dcc38aa7f3e,0
5a4db591c953a8d8f373877fad37aaf4268899a1,0
8bf9b4d8880aeba1c9a0da48be78f12e629be37c,0
c7cdf2af01e9fa95bf498b68c122aa4b9a8d10df,0
82efb8dd7e44792e0fc089388013e90b671ec2b3,0
ab01cf1a542aa968434d538c9285af311ed25487,0
e803ce97eee6f699cb39f12cb50e85e66bcd7c9f,0
9a0fe663d708c4b731e394f7a1f585fd81c9bae3,0
25d98c9dbf347a9aa829b3e2beec891d1cd797c6,0
70ed1200b3ee4e84515aadc9498970822fd39e91,0
1b8aee3005f13673ec7d9e5ffaf4e0f0ae510ace,0
25836b9e191f72b0ed6bac68ca0cda86fbd40bcb,0
c97d298e1025f30142ed9f5d3acc03eeea9a7a07,0
3ef6b4febd0f08561e68f5a945cdf7d31d21c2be,0
da647f83b351896a2098ce762801c1acfd7c751c,0
aef39b76fbc238b7d61a61e9b99be21125d41f09,0
e8acb4ffaf8319b7ed5bfe9ce229c23b279e5abd,0
89af025049d748bcdbf98973e4fda99b810f2579,0
461bcdfa6a2a42aa5f295363bffb12e9080a39af,0
5493ca1f43b8ffa7ab0167378e7533a27d7f1d77,0
be7079a164acb8a6b321d27fb463f17c2ead624e,0
77a2a99ffbd946fd5e5e146af314e51e4ec1c16a,0
d5bf2249b9057ce7978f6a0d5131f9e744b0e55c,0
a223401e1c38097435a5a71aecea2db34b3ca625,0
a20e86ec1db119733887eb2d0b30b65400ec77e4,0
0f9a64fde8ed5e344cf825e060fd0578f6529388,0
2e68ee2882dc4bbb63fc6b4d771541d1257c014a,0
f4add70a974b4a81fc759e490295112f422665d5,0
92ba999ba25857b6a460cf95d5fd1b156f33e799,0
8509d9eb3cab6381b7a40c421bdcb66dd8a25ef5,0
d7222edafc6716674422c9d73536f936afd9c3c0,0
881fdda39a7de2b105082a350c8ee05ba71e1080,0
